Groundwater Level,Rainfall,Temperature,Previous GWL
19.23,28.72,26.140625,16.96
15.52,480.94,34.3325,19.23
16.07,85.4,26.755625,15.52
16.22,0.2,19.0071875,16.07
18.08,30.27,24.867125,16.22
15.34,440.92,35.39729167,18.08
15.14,60.69,29.1575,15.34
16.52,2.63,19.01,15.14
17.77,29.39,25.721125,16.52
15.92,455.87,34.3425,17.77
16.05,77.07,28.5265625,15.92
16.29,0.21,17.4525,16.05
17.93,35.83,24.38525,16.29
15.11,345.37,34.705625,17.93
16.26,108.28,28.3503125,15.11
16.63,23.55,17.8865625,16.26
17.62,16.94,25.4975,16.63
17.58,255.25,35.62333333,17.62
16.95,154.35,29.2959375,17.58
17.63,1.43,18.7928125,16.95
18.74,40.34,26.007125,17.63
18.39,242.52,36.323125,18.74
18.89,56.23,31.19,18.39
19.53,0.01,19.61125,18.89
20.79,19.71,25.603125,19.53
18.83,294.43,35.64458333,20.79
20.45,16.79,31.306875,18.83
20.64,0.33,19.7003125,20.45
21.74,39.07,25.72,20.64
18.62,380.9,34.08583333,21.74
19.07,18.07,30.501875,18.62
19.03,5.24,19.4603125,19.07
20.9,24.27,25.958875,19.03
20.53,124.09,37.699375,20.9
21.5,31.02,30.4659375,20.53
21.46,7.76,25.589375,21.5
22.87,31.78,34.58916667,21.46
18.39,0.28,19.4728125,22.87
19.32,38.22,24.86875,18.39
17.94,272.63,35.76395833,19.32
17.6,119.05,29.21875,17.94
18.52,0.01,18.1409375,17.6
19.6,31.33,26.833125,18.52
16.21,437.31,34.55208333,19.6
16.87,63.67,29.475,16.21
18.15,1.23,19.201875,16.87
19.89,57.07,25.928625,18.15
17.86,316.1,35.28041667,19.89
18.54,64.17,29.230625,17.86
19.14,0.97,18.9478125,18.54
20.3,44.41,25.213375,19.14
18.25,373.4,33.41875,20.3
19.31,65.33,29.40625,18.25
20.18,6.49,19.913125,19.31
20.95,16.37,26.49725,20.18
19.31,239.49,36.10979167,20.95
19.35,36.7,29.3721875,19.31
20.52,6.35,18.9971875,19.35
22.16,10.21,27.17025,20.52
19.33,419.04,34.69895833,22.16
18.87,122.32,27.7296875,19.33
19.71,39.16,17.62,18.87
21.23,23.13,25.27775,19.71
18.67,456.95,34.85854167,21.23
18.04,139.22,26.9621875,18.67
18.05,0,19.121875,18.04
19.86,31.86,24.661,18.05
17.44,113.9,26.6503125,19.86
18.05,1.47,17.4790625,17.44
20.1,30.56,24.80825,18.05
17.51,479.56,34.15020833,20.1
17.4,84.06,29.0990625,17.51
18.67,1.22,17.751875,17.4
20.07,46.44,24.750125,18.67
18.07,360.34,36.02395833,20.07
18.17,103.87,28.3571875,18.07
18.99,0.8,18.320625,18.17
20.17,77.72,25.088625,18.99
18.17,429.32,33.96958333,20.17
19.07,29.41,29.0284375,18.17
22.81,0.72,18.7921875,19.07
21.68,12.28,26.581125,22.81
18.34,506.6,34.62479167,21.68
19.07,47.61,28.6121875,18.34
20.11,0.02,18.934375,19.07
21.22,39.49,26.130875,20.11
19.95,405.98,34.17520833,21.22
19.26,33.23,29.220625,19.95
20.79,4.03,18.4575,19.26
22.39,12.72,26.801125,20.79
20.53,318.45,34.34270833,22.39
22.3,0.51,18.0634375,20.53
22.81,36.81,24.99575,22.3
20.68,462.38,35.39333333,22.81
19.77,137.78,28.8521875,20.68
20.57,17.43,17.526875,19.77
19.64,311.79,35.14791667,20.57
20.22,75.14,28.806875,19.64
20.76,2.82,17.56375,20.22
20.78,295.12,34.89645833,20.76
20.3,194.68,28.1240625,20.78
20.73,15.19,17.6453125,20.3
22.28,34.25,26.4785,20.73
18.75,510.52,32.91833333,22.28
18.48,88.78,27.803125,18.75
21,2.2,18.7875,18.48
20.84,106.28,25.9282,21
